spec,error,class,method
CipherSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABMC4,go
CipherSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoBBCase5,go
KeyGeneratorSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoBBCase4,go
KeyGeneratorSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase8,go
CipherSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.ecbcrypto.EcbInSymmCryptoABICase1,go
KeyGeneratorSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABMC5,go
MessageDigestSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokenhash.BrokenHashABMC2,go
KeyPairGeneratorSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.insecureasymmetriccrypto.InsecureAsymmetricCipherBBCase1,go
CipherSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoBBCase1,go
CipherSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.ecbcrypto.EcbInSymmCryptoABMC1,go
CipherSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase14,method1
KeyGeneratorSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase1,go
MessageDigestSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokenhash.BrokenHashABICase11,method1
MessageDigestSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokenhash.BrokenHashABICase4,go
KeyGeneratorSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABMC3,go
MessageDigestSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokenhash.BrokenHashABICase1,go
KeyGeneratorSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase3,go
CipherSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase12,method1
CipherSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase15,method1
CipherSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase10,go
MessageDigestSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokenhash.BrokenHashABICase10,method1
MessageDigestSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokenhash.BrokenHashABICase5,go
KeyGeneratorSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABMC5,go
CipherSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.ecbcrypto.EcbInSymmCryptoABICase1,go
SecretKeySpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.credentialinstring.CredentialInStringABICase3,method2
KeyGeneratorSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABMC4,go
KeyPairSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.insecureasymmetriccrypto.InsecureAsymmetricCipherABPSCase1,go
KeyGeneratorSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase2,go
CipherSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase13,method1
SecretKeySpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.predictablecryptographickey.PredictableCryptographicKeyABPSCase1,main
KeyGeneratorSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoBBCase5,go
CipherSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.ecbcrypto.EcbInSymmCryptoABICase2,go
MessageDigestSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokenhash.BrokenHashABICase9,method1
MessageDigestSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokenhash.BrokenHashABPSCase3,main
KeyPairSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.insecureasymmetriccrypto.InsecureAsymmetricCipherABICase1,go
MessageDigestSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokenhash.BrokenHashABICase2,go
CipherSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase9,go
KeyGeneratorSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABMC2,go
KeyGeneratorSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase5,go
MessageDigestSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokenhash.BrokenHashABICase12,method1
MessageDigestSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokenhash.BrokenHashABICase3,go
MessageDigestSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokenhash.BrokenHashABPSCase4,main
KeyPairSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.insecureasymmetriccrypto.InsecureAsymmetricCipherABICase2,go
CipherSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.ecbcrypto.EcbInSymmCryptoABPSCase1,go
CipherSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase8,go
KeyGeneratorSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABMC1,go
KeyPairGeneratorSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.insecureasymmetriccrypto.InsecureAsymmetricCipherABICase1,go
CipherSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase11,method1
KeyGeneratorSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase4,go
KeyGeneratorSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoBBCase3,go
CipherSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABPSCase1,go
CipherSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoBBCase5,go
KeyGeneratorSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase10,go
KeyGeneratorSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase5,go
MessageDigestSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokenhash.BrokenHashABMC1,go
MessageDigestSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokenhash.BrokenHashABICase9,method1
CipherSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase2,go
KeyGeneratorSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase13,method1
KeyPairGeneratorSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.insecureasymmetriccrypto.InsecureAsymmetricCipherABICase2,main
CipherSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase7,go
MessageDigestSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokenhash.BrokenHashBBCase1,main
MessageDigestSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokenhash.BrokenHashABICase5,go
MessageDigestSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokenhash.BrokenHashABPSCase4,main
KeyGeneratorSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoBBCase4,go
CipherSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABPSCase2,go
CipherSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase6,go
CipherSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoBBCase4,go
CipherSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase3,go
KeyGeneratorSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase12,method1
CipherSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase11,method1
KeyPairGeneratorSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.insecureasymmetriccrypto.InsecureAsymmetricCipherABICase1,go
CipherSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.credentialinstring.CredentialInStringCorrected,main
MessageDigestSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokenhash.BrokenHashABMC2,go
KeyGeneratorSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase4,go
MessageDigestSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokenhash.BrokenHashABICase1,go
MessageDigestSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokenhash.BrokenHashABPSCase3,main
CipherSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABPSCase5,go
MessageDigestSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokenhash.BrokenHashABICase4,go
MessageDigestSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokenhash.BrokenHashBBCase4,main
CipherSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase10,go
CipherSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoBBCase3,go
KeyGeneratorSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoBBCase1,go
CipherSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase5,go
KeyPairGeneratorSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.insecureasymmetriccrypto.InsecureAsymmetricCipherABMC1,go
KeyGeneratorSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase3,go
CipherSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABPSCase3,go
MessageDigestSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokenhash.BrokenHashABMC3,go
CipherSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase12,method1
CipherSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase14,method1
KeyGeneratorSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase1,go
KeyGeneratorSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase15,method1
MessageDigestSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokenhash.BrokenHashABICase3,go
MessageDigestSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokenhash.BrokenHashBBCase3,main
KeyPairSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.insecureasymmetriccrypto.InsecureAsymmetricCipherABICase3,method1
CipherSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoBBCase2,go
KeyGeneratorSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoBBCase2,go
KeyGeneratorSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase11,method1
CipherSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase4,go
KeyPairGeneratorSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.insecureasymmetriccrypto.InsecureAsymmetricCipherBBCase1,go
CipherSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABPSCase4,go
KeyGeneratorSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase2,go
MessageDigestSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokenhash.BrokenHashABMC4,go
CipherSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase13,method1
CipherSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase15,method1
MessageDigestSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokenhash.BrokenHashABICase2,go
KeyGeneratorSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase14,method1
CipherSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase1,go
MessageDigestSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokenhash.BrokenHashBBCase2,main
KeyGeneratorSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase9,go
CipherSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase6,go
CipherSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABMC3,go
CipherSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.ecbcrypto.EcbInSymmCryptoABPSCase1,go
KeyGeneratorSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase12,method1
CipherSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase3,go
MessageDigestSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokenhash.BrokenHashBBCase2,main
CipherSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.ecbcrypto.EcbInSymmCryptoBBCase1,go
CipherSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABPSCase5,go
CipherSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABMC5,go
KeyGeneratorSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoBBCase5,go
CipherSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABPSCase2,go
CipherSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.credentialinstring.CredentialInStringCorrected,main
CipherSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase2,go
KeyGeneratorSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase13,method1
MessageDigestSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokenhash.BrokenHashABICase8,go
KeyGeneratorSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase8,go
CipherSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase7,go
CipherSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABMC4,go
MessageDigestSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokenhash.BrokenHashBBCase3,main
CipherSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABPSCase1,go
MessageDigestSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokenhash.BrokenHashBBCase4,main
KeyGeneratorSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase7,go
KeyGeneratorSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase14,method1
CipherSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase1,go
MessageDigestSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokenhash.BrokenHashABICase7,go
KeyGeneratorSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase11,method1
CipherSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase4,go
MacSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokenmac.BrokenMacBBCase1,main
KeyGeneratorSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase10,go
MessageDigestSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokenhash.BrokenHashABPSCase2,main
CipherSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.credentialinstring.CredentialInStringBBCase1,main
KeyPairSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.insecureasymmetriccrypto.InsecureAsymmetricCipherABMC1,go
SecretKeySpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.predictablecryptographickey.PredictableCryptographicKeyCorrected,main
CipherSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABMC1,go
CipherSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABPSCase4,go
KeyGeneratorSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase6,go
CipherSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.predictablecryptographickey.PredictableCryptographicKeyCorrected,main
KeyGeneratorSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase15,method1
CipherSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABMC2,go
CipherSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase5,go
SecretKeySpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.predictablecryptographickey.PredictableCryptographicKeyABICase2,go
CipherSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.ecbcrypto.EcbInSymmCryptoABMC1,go
MessageDigestSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokenhash.BrokenHashBBCase1,main
MacSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokenmac.BrokenMacBBCase2,main
MessageDigestSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokenhash.BrokenHashABPSCase1,main
KeyPairGeneratorSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.insecureasymmetriccrypto.InsecureAsymmetricCipherABICase3,method1
CipherSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoBBCase1,go
MessageDigestSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokenhash.BrokenHashABICase6,go
KeyPairGeneratorSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.insecureasymmetriccrypto.InsecureAsymmetricCipherABMC1,go
CipherSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABPSCase3,go
